Epoch 46/100, Loss: 0.0637205877720052, IOU: 0.9701197527252515
Epoch 47/100, Loss: 0.06531588424740316, IOU: 0.9675279162864733
Epoch 48/100, Loss: 0.05940774481867433, IOU: 0.9730564506369379
Epoch 49/100, Loss: 0.06931378188497765, IOU: 0.9643933109374276
Epoch 50/100, Loss: 0.055073561725656854, IOU: 0.974494887355075
Epoch 51/100, Loss: 0.04961940296866057, IOU: 0.9766769870313149
Epoch 52/100, Loss: 0.0463566129081561, IOU: 0.9795471534107065
Epoch 53/100, Loss: 0.042833364001758724, IOU: 0.9811188486109511
Epoch 54/100, Loss: 0.04158990486296337, IOU: 0.9807044200826177
Epoch 55/100, Loss: 0.041273159750253724, IOU: 0.9803989752690296
Epoch 56/100, Loss: 0.04129353042125054, IOU: 0.9804762424039916
Epoch 57/100, Loss: 0.036230513415135, IOU: 0.9837246443103101
Epoch 58/100, Loss: 0.036344412221785284, IOU: 0.9834773812906802
Epoch 59/100, Loss: 0.03351665522112413, IOU: 0.9850345565392763
Epoch 60/100, Loss: 0.0329474769592228, IOU: 0.9850910324519666
Epoch 61/100, Loss: 0.029943177479502682, IOU: 0.9878062380571971
Epoch 62/100, Loss: 0.027628723237796894, IOU: 0.9879143954266495
Epoch 63/100, Loss: 0.02671804840264418, IOU: 0.9887215703115735
Epoch 64/100, Loss: 0.02642312164708991, IOU: 0.9893763268748853
Epoch 65/100, Loss: 0.02554218308068812, IOU: 0.9892845725246618
Epoch 66/100, Loss: 0.02114345599114752, IOU: 0.9918214854436087
Epoch 67/100, Loss: 0.02272330110480585, IOU: 0.9901220168947465
Epoch 68/100, Loss: 0.017247947417330618, IOU: 0.994837807475276
Epoch 69/100, Loss: 0.0177263861439903, IOU: 0.9935865013620014
Epoch 70/100, Loss: 0.020213179065205176, IOU: 0.9917502043834088
Epoch 71/100, Loss: 0.023366422344194462, IOU: 0.9888175386704804
Epoch 72/100, Loss: 0.029332593817304332, IOU: 0.9849038038072563
Epoch 73/100, Loss: 0.024558867486265235, IOU: 0.9884094332698342
Epoch 74/100, Loss: 0.025365130798688726, IOU: 0.9876219829395448
Epoch 75/100, Loss: 0.02333205029168321, IOU: 0.9900435648821202
Epoch 76/100, Loss: 0.02030236424420915, IOU: 0.9910173785387232
Epoch 77/100, Loss: 0.025546090044093122, IOU: 0.9871420021478639
Epoch 78/100, Loss: 0.02852271357700086, IOU: 0.9847653296902025
Epoch 79/100, Loss: 0.021166953511293166, IOU: 0.989729459585598
Epoch 80/100, Loss: 0.01961030573030348, IOU: 0.9915868867563247
Epoch 81/100, Loss: 0.021084140628323797, IOU: 0.9907310707550483
Epoch 82/100, Loss: 0.01947721702974442, IOU: 0.9908563153549613
Epoch 83/100, Loss: 0.02680928968077721, IOU: 0.9843492128728262
Epoch 84/100, Loss: 0.022871820823601483, IOU: 0.9881176120512992
Epoch 85/100, Loss: 0.01931122668883037, IOU: 0.9914275838540545
Epoch 86/100, Loss: 0.016890587992287334, IOU: 0.992238303931079
Epoch 87/100, Loss: 0.016137935028707993, IOU: 0.9928902027234925
Epoch 88/100, Loss: 0.01347336032674374, IOU: 0.9950505466085178
Epoch 89/100, Loss: 0.011296862321596145, IOU: 0.9959430114876184
Epoch 90/100, Loss: 0.009278538322750279, IOU: 0.9971257325013722
Epoch 91/100, Loss: 0.012963289422813155, IOU: 0.9948978277137918
Epoch 92/100, Loss: 0.017640386593898476, IOU: 0.9913285551121226
Epoch 93/100, Loss: 0.018428695994033895, IOU: 0.9913737823344603
Epoch 94/100, Loss: 0.01555156425344865, IOU: 0.9925424401076411
Epoch 95/100, Loss: 0.015607376276548771, IOU: 0.993109507155286
Epoch 96/100, Loss: 0.019554703092218028, IOU: 0.9900634018739304
Epoch 97/100, Loss: 0.01774310183656566, IOU: 0.9914481701518145
Epoch 98/100, Loss: 0.01242255418301772, IOU: 0.9946652931467511
Epoch 99/100, Loss: 0.013340497296095094, IOU: 0.9939293756797895
Epoch 100/100, Loss: 0.011433647102182087, IOU: 0.9957514860104377
